nohup: ignoring input
CIFAR100 found locally: /remote-home/elison/FSEML-rewrite-2026/data/cifar100
CIFAR100 found locally: /remote-home/elison/FSEML-rewrite-2026/data/cifar100
{"epoch": 139, "learning_rate": 0.021895831107393474, "train_accuracy": 0.84912, "train_loss": 1.2721550723266601, "validation_accuracy": 0.6689, "validation_loss": 1.3141307453155517}
{"epoch": 140, "learning_rate": 0.02124973739783608, "train_accuracy": 0.85804, "train_loss": 1.255552359046936, "validation_accuracy": 0.6815, "validation_loss": 1.245069425010681}
{"epoch": 141, "learning_rate": 0.02061073738537636, "train_accuracy": 0.86292, "train_loss": 1.2372579480361938, "validation_accuracy": 0.6821, "validation_loss": 1.273456092453003}
{"epoch": 142, "learning_rate": 0.019978988733705814, "train_accuracy": 0.86466, "train_loss": 1.2299323544311525, "validation_accuracy": 0.6685, "validation_loss": 1.3075829666137695}
{"epoch": 143, "learning_rate": 0.01935464731735118, "train_accuracy": 0.87306, "train_loss": 1.2124703383636475, "validation_accuracy": 0.6757, "validation_loss": 1.2987533903121948}
{"epoch": 144, "learning_rate": 0.018737867183214747, "train_accuracy": 0.88052, "train_loss": 1.1889174224090575, "validation_accuracy": 0.666, "validation_loss": 1.3257551872253417}
{"epoch": 145, "learning_rate": 0.01812880051256552, "train_accuracy": 0.88612, "train_loss": 1.1777075536346435, "validation_accuracy": 0.686, "validation_loss": 1.2281545465469361}
{"epoch": 146, "learning_rate": 0.017527597583490827, "train_accuracy": 0.8884, "train_loss": 1.1681966422653198, "validation_accuracy": 0.6908, "validation_loss": 1.220992822265625}
{"epoch": 147, "learning_rate": 0.01693440673381742, "train_accuracy": 0.89302, "train_loss": 1.1541681757354736, "validation_accuracy": 0.6851, "validation_loss": 1.2660041774749755}
{"epoch": 148, "learning_rate": 0.016349374324511334, "train_accuracy": 0.90436, "train_loss": 1.1246192419815064, "validation_accuracy": 0.6939, "validation_loss": 1.240704437828064}
{"epoch": 149, "learning_rate": 0.01577264470356557, "train_accuracy": 0.90486, "train_loss": 1.1209114434814453, "validation_accuracy": 0.6939, "validation_loss": 1.2404729207992553}
{"epoch": 150, "learning_rate": 0.01520436017038429, "train_accuracy": 0.91042, "train_loss": 1.107686795578003, "validation_accuracy": 0.6965, "validation_loss": 1.2266937067985535}
{"epoch": 151, "learning_rate": 0.014644660940672632, "train_accuracy": 0.9162, "train_loss": 1.094829248123169, "validation_accuracy": 0.6816, "validation_loss": 1.2754847093582153}
{"epoch": 152, "learning_rate": 0.01409368511184057, "train_accuracy": 0.92498, "train_loss": 1.071111028327942, "validation_accuracy": 0.6975, "validation_loss": 1.2211599351882934}
{"epoch": 153, "learning_rate": 0.013551568628929438, "train_accuracy": 0.92856, "train_loss": 1.0601621759033204, "validation_accuracy": 0.6967, "validation_loss": 1.209818964958191}
